"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2019","5.40","5.45","5.45","5.36","544.70K","-1.28%"
"Mar 18, 2019","5.47","5.27","5.49","5.24","1.35M","4.39%"
"Mar 15, 2019","5.24","5.29","5.34","5.22","5.83M","-0.95%"
"Mar 14, 2019","5.29","5.30","5.30","5.26","1.62M","-0.75%"
"Mar 13, 2019","5.33","5.32","5.38","5.30","2.21M","-0.37%"
"Mar 12, 2019","5.35","5.36","5.37","5.32","702.70K","-0.19%"
"Mar 11, 2019","5.36","5.37","5.39","5.35","1.87M","0.00%"
"Mar 08, 2019","5.36","5.33","5.39","5.31","1.66M","0.56%"
"Mar 07, 2019","5.33","5.30","5.38","5.30","1.42M","-0.19%"
"Mar 06, 2019","5.34","5.31","5.36","5.30","1.32M","0.75%"
"Mar 05, 2019","5.30","5.27","5.33","5.27","2.72M","-0.19%"
"Mar 04, 2019","5.31","5.33","5.35","5.26","3.36M","-1.48%"
"Mar 01, 2019","5.39","5.37","5.43","5.34","4.98M","0.37%"
"Feb 28, 2019","5.37","5.35","5.42","5.26","5.76M","-0.92%"
"Feb 27, 2019","5.42","5.45","5.49","5.40","3.11M","-0.18%"
"Feb 26, 2019","5.43","5.50","5.50","5.34","2.57M","-1.81%"
"Feb 25, 2019","5.53","5.55","5.58","5.49","1.54M","0.36%"
"Feb 22, 2019","5.51","5.60","5.61","5.48","2.08M","-2.82%"
"Feb 21, 2019","5.67","5.64","5.67","5.60","2.38M","0.53%"
"Feb 20, 2019","5.64","5.57","5.67","5.51","2.31M","2.55%"
"Feb 19, 2019","5.50","5.54","5.55","5.43","1.78M","-0.90%"
"Feb 18, 2019","5.55","5.64","5.65","5.51","658.60K","-1.42%"
"Feb 15, 2019","5.63","5.64","5.76","5.58","1.12M","-1.23%"
"Feb 14, 2019","5.70","5.64","5.70","5.61","753.40K","0.71%"
"Feb 13, 2019","5.66","5.74","5.74","5.63","407.30K","-0.70%"
"Feb 12, 2019","5.70","5.76","5.79","5.62","797.40K","0.00%"
"Feb 11, 2019","5.70","5.71","5.72","5.64","681.50K","0.00%"
"Feb 08, 2019","5.70","5.74","5.74","5.63","1.41M","0.00%"
"Feb 07, 2019","5.70","5.67","5.72","5.60","2.35M","2.52%"
"Feb 04, 2019","5.56","5.75","5.75","5.56","1.28M","-3.30%"
"Jan 31, 2019","5.75","5.76","5.80","5.75","3.82M","0.17%"
"Jan 30, 2019","5.74","5.75","5.76","5.68","1.13M","-0.35%"
"Jan 29, 2019","5.76","5.76","5.78","5.66","2.38M","0.00%"
"Jan 28, 2019","5.76","5.80","5.80","5.73","1.47M","-0.52%"
"Jan 25, 2019","5.79","5.80","5.80","5.73","1.95M","0.52%"
"Jan 24, 2019","5.76","5.74","5.77","5.71","1.73M","0.35%"
"Jan 23, 2019","5.74","5.66","5.74","5.65","2.30M","0.00%"
"Jan 22, 2019","5.74","5.74","5.75","5.71","2.76M","0.53%"
"Jan 18, 2019","5.71","5.69","5.73","5.68","1.91M","0.00%"
"Jan 17, 2019","5.71","5.70","5.72","5.66","2.61M","0.18%"
"Jan 16, 2019","5.70","5.74","5.74","5.65","1.31M","-0.35%"
"Jan 15, 2019","5.72","5.64","5.73","5.64","3.42M","1.42%"
"Jan 14, 2019","5.64","5.58","5.70","5.58","1.08M","-1.05%"
"Jan 11, 2019","5.70","5.67","5.71","5.61","2.51M","1.06%"
"Jan 10, 2019","5.64","5.53","5.68","5.49","2.46M","3.30%"
"Jan 09, 2019","5.46","5.70","5.70","5.45","2.84M","-3.19%"
"Jan 08, 2019","5.64","5.67","5.73","5.53","3.61M","-0.35%"
"Jan 07, 2019","5.66","5.52","5.66","5.49","1.70M","2.35%"
"Jan 04, 2019","5.53","5.40","5.53","5.40","1.48M","1.47%"
"Jan 03, 2019","5.45","5.42","5.47","5.35","1.24M","0.93%"
"Jan 02, 2019","5.40","5.37","5.43","5.31","1.11M","0.93%"
